iter	Passed	Remaining
0	61	6042
1	65	3196
2	70	2283
3	76	1833
4	82	1566
5	89	1399
6	100	1336
7	119	1372
8	130	1321
9	143	1294
10	154	1250
11	161	1184
12	170	1138
13	184	1132
14	199	1128
15	205	1078
16	214	1045
17	222	1014
18	237	1013
19	268	1072
20	284	1068
21	298	1058
22	316	1060
23	331	1048
24	338	1015
25	351	1001
26	370	1000
27	376	967
28	380	932
29	385	899
30	390	869
31	395	839
32	399	812
33	405	786
34	409	760
35	414	736
36	419	713
37	429	700
38	440	689
39	468	702
40	483	695
41	494	682
42	504	668
43	514	654
44	522	638
45	527	619
46	536	604
47	559	605
48	565	588
49	573	573
50	583	560
51	588	542
52	591	524
53	610	519
54	623	510
55	641	504
56	690	521
57	702	508
58	710	493
59	719	479
60	725	463
61	735	450
62	743	436
63	753	423
64	759	408
65	768	396
66	776	382
67	796	375
68	816	366
69	836	358
70	845	345
71	855	332
72	865	320
73	874	307
74	884	294
75	906	286
76	918	274
77	950	268
78	960	255
79	975	243
80	989	232
81	1000	219
82	1014	207
83	1031	196
84	1045	184
85	1056	171
86	1071	160
87	1085	148
88	1099	135
89	1109	123
90	1133	112
91	1173	102
92	1189	89
93	1202	76
94	1216	64
95	1227	51
96	1240	38
97	1259	25
98	1297	13
99	1313	0
